date,global_activity
01/01/68,"-12,75"
01/02/68,"-9,43"
01/03/68,"-11,26"
01/04/68,"-11,38"
01/05/68,"-10,65"
01/06/68,"-7,70"
01/07/68,"-12,33"
01/08/68,"-15,95"
01/09/68,"-15,18"
01/10/68,"-20,11"
01/11/68,"-8,86"
01/12/68,"-16,54"
01/01/69,"-18,90"
01/02/69,"-18,11"
01/03/69,"-16,99"
01/04/69,"-22,83"
01/05/69,"-27,72"
01/06/69,"-18,75"
01/07/69,"-26,54"
01/08/69,"-21,95"
01/09/69,"-14,39"
01/10/69,"-6,62"
01/11/69,"-0,93"
01/12/69,"3,73"
01/01/70,"25,26"
01/02/70,"39,51"
01/03/70,"53,59"
01/04/70,"54,91"
01/05/70,"56,45"
01/06/70,"51,95"
01/07/70,"47,54"
01/08/70,"53,46"
01/09/70,"58,78"
01/10/70,"59,22"
01/11/70,"54,08"
01/12/70,"16,43"
01/01/71,"7,64"
01/02/71,"-16,31"
01/03/71,"-18,06"
01/04/71,"-23,31"
01/05/71,"-30,04"
01/06/71,"-53,63"
01/07/71,"-59,84"
01/08/71,"-63,79"
01/09/71,"-50,35"
01/10/71,"-60,08"
01/11/71,"-43,84"
01/12/71,"-48,31"
01/01/72,"-60,31"
01/02/72,"-67,16"
01/03/72,"-69,73"
01/04/72,"-60,53"
01/05/72,"-64,47"
01/06/72,"-67,21"
01/07/72,"-57,02"
01/08/72,"-63,38"
01/09/72,"-9,04"
01/10/72,"-6,14"
01/11/72,"-5,00"
01/12/72,"9,00"
01/01/73,"20,48"
01/02/73,"29,22"
01/03/73,"38,34"
01/04/73,"42,74"
01/05/73,"50,02"
01/06/73,"57,48"
01/07/73,"58,95"
01/08/73,"69,47"
01/09/73,"80,90"
01/10/73,"106,82"
01/11/73,"103,85"
01/12/73,"113,86"
01/01/74,"105,39"
01/02/74,"88,45"
01/03/74,"98,04"
01/04/74,"86,06"
01/05/74,"103,82"
01/06/74,"82,15"
01/07/74,"61,85"
01/08/74,"58,49"
01/09/74,"60,24"
01/10/74,"61,39"
01/11/74,"58,81"
01/12/74,"21,65"
01/01/75,"-0,91"
01/02/75,"-9,86"
01/03/75,"-26,66"
01/04/75,"-41,41"
01/05/75,"-44,08"
01/06/75,"-36,93"
01/07/75,"-41,92"
01/08/75,"-45,63"
01/09/75,"-34,42"
01/10/75,"-34,01"
01/11/75,"-24,11"
01/12/75,"-35,73"
01/01/76,"-46,03"
01/02/76,"-50,29"
01/03/76,"-32,56"
01/04/76,"-28,97"
01/05/76,"-19,38"
01/06/76,"-16,25"
01/07/76,"-21,56"
01/08/76,"-24,04"
01/09/76,"-24,77"
01/10/76,"-20,86"
01/11/76,"-19,43"
01/12/76,"-35,83"
01/01/77,"-49,22"
01/02/77,"-45,13"
01/03/77,"-45,46"
01/04/77,"-43,58"
01/05/77,"-35,83"
01/06/77,"-40,61"
01/07/77,"-44,41"
01/08/77,"-47,11"
01/09/77,"-47,27"
01/10/77,"-33,04"
01/11/77,"-33,52"
01/12/77,"-38,09"
01/01/78,"-38,56"
01/02/78,"-38,87"
01/03/78,"-39,34"
01/04/78,"-39,96"
01/05/78,"-22,86"
01/06/78,"-17,29"
01/07/78,"-25,90"
01/08/78,"-26,34"
01/09/78,"-14,07"
01/10/78,"-18,11"
01/11/78,"-4,08"
01/12/78,"-7,09"
01/01/79,"-16,36"
01/02/79,"-10,91"
01/03/79,"6,99"
01/04/79,"8,97"
01/05/79,"28,77"
01/06/79,"46,06"
01/07/79,"54,08"
01/08/79,"36,99"
01/09/79,"43,56"
01/10/79,"43,49"
01/11/79,"49,00"
01/12/79,"35,19"
01/01/80,"34,57"
01/02/80,"39,92"
01/03/80,"41,90"
01/04/80,"60,23"
01/05/80,"63,39"
01/06/80,"56,63"
01/07/80,"44,52"
01/08/80,"53,27"
01/09/80,"54,52"
01/10/80,"54,41"
01/11/80,"64,24"
01/12/80,"67,88"
01/01/81,"63,57"
01/02/81,"61,38"
01/03/81,"49,86"
01/04/81,"45,51"
01/05/81,"35,44"
01/06/81,"40,70"
01/07/81,"32,35"
01/08/81,"14,76"
01/09/81,"12,69"
01/10/81,"15,22"
01/11/81,"14,26"
01/12/81,"7,31"
01/01/82,"2,74"
01/02/82,"-6,60"
01/03/82,"2,62"
01/04/82,"10,57"
01/05/82,"7,42"
01/06/82,"-16,92"
01/07/82,"-41,21"
01/08/82,"-43,56"
01/09/82,"-27,75"
01/10/82,"-27,19"
01/11/82,"-24,59"
01/12/82,"-19,84"
01/01/83,"-17,81"
01/02/83,"-12,93"
01/03/83,"-10,04"
01/04/83,"-7,35"
01/05/83,"-7,56"
01/06/83,"-22,49"
01/07/83,"-33,75"
01/08/83,"-34,79"
01/09/83,"-31,77"
01/10/83,"-28,80"
01/11/83,"-21,42"
01/12/83,"-31,74"
01/01/84,"-29,88"
01/02/84,"-23,25"
01/03/84,"-19,00"
01/04/84,"-15,03"
01/05/84,"-15,66"
01/06/84,"-24,51"
01/07/84,"-29,40"
01/08/84,"-28,55"
01/09/84,"-25,41"
01/10/84,"-24,13"
01/11/84,"-16,59"
01/12/84,"-19,75"
01/01/85,"-23,30"
01/02/85,"-27,63"
01/03/85,"-25,90"
01/04/85,"-20,92"
01/05/85,"-24,94"
01/06/85,"-34,44"
01/07/85,"-50,18"
01/08/85,"-57,64"
01/09/85,"-50,09"
01/10/85,"-37,02"
01/11/85,"-36,20"
01/12/85,"-36,05"
01/01/86,"-37,80"
01/02/86,"-51,75"
01/03/86,"-55,39"
01/04/86,"-61,56"
01/05/86,"-66,39"
01/06/86,"-69,35"
01/07/86,"-80,98"
01/08/86,"-78,31"
01/09/86,"-54,27"
01/10/86,"-48,82"
01/11/86,"-51,14"
01/12/86,"-60,13"
01/01/87,"-46,53"
01/02/87,"-41,81"
01/03/87,"-35,10"
01/04/87,"-25,20"
01/05/87,"-19,45"
01/06/87,"-30,74"
01/07/87,"-33,68"
01/08/87,"-18,80"
01/09/87,"-22,34"
01/10/87,"-17,34"
01/11/87,"-12,33"
01/12/87,"-5,14"
01/01/88,"2,88"
01/02/88,"14,13"
01/03/88,"19,22"
01/04/88,"11,68"
01/05/88,"5,23"
01/06/88,"-5,08"
01/07/88,"-11,43"
01/08/88,"-9,37"
01/09/88,"-4,82"
01/10/88,"-1,91"
01/11/88,"7,87"
01/12/88,"11,34"
01/01/89,"17,81"
01/02/89,"12,25"
01/03/89,"17,57"
01/04/89,"17,00"
01/05/89,"21,56"
01/06/89,"3,15"
01/07/89,"1,07"
01/08/89,"2,46"
01/09/89,"3,93"
01/10/89,"10,64"
01/11/89,"18,18"
01/12/89,"14,60"
01/01/90,"16,53"
01/02/90,"13,10"
01/03/90,"12,54"
01/04/90,"2,71"
01/05/90,"-6,20"
01/06/90,"-15,02"
01/07/90,"-25,01"
01/08/90,"-15,99"
01/09/90,"-18,59"
01/10/90,"-14,57"
01/11/90,"-9,61"
01/12/90,"-0,33"
01/01/91,"0,30"
01/02/91,"10,05"
01/03/91,"17,99"
01/04/91,"10,54"
01/05/91,"14,38"
01/06/91,"16,56"
01/07/91,"8,09"
01/08/91,"2,93"
01/09/91,"6,03"
01/10/91,"10,38"
01/11/91,"10,97"
01/12/91,"5,53"
01/01/92,"2,66"
01/02/92,"-10,70"
01/03/92,"-18,02"
01/04/92,"-21,84"
01/05/92,"-14,17"
01/06/92,"-22,18"
01/07/92,"-31,60"
