date ,volume
"jan 07, 1983",8634
"jan 14, 1983",8634
"jan 21, 1983",8634
"jan 28, 1983",8634
"fev 04, 1983",8660
"fev 11, 1983",8660
"fev 18, 1983",8660
"fev 25, 1983",8660
"mar 04, 1983",8677
"mar 11, 1983",8677
"mar 18, 1983",8677
"mar 25, 1983",8677
"abr 01, 1983",8677
"abr 08, 1983",8686
"abr 15, 1983",8686
"abr 29, 1983",8686
"mai 13, 1983",8682
"mai 20, 1983",8682
"jun 03, 1983",8676
"jun 10, 1983",8676
"jun 17, 1983",8676
"jun 24, 1983",8676
"jul 01, 1983",8676
"jul 08, 1983",8647
"jul 15, 1983",8647
"jul 22, 1983",8647
"jul 29, 1983",8647
"ago 05, 1983",8653
"ago 12, 1983",8653
"ago 19, 1983",8653
"ago 26, 1983",8653
"set 02, 1983",8666
"set 09, 1983",8666
"set 16, 1983",8666
"set 23, 1983",8666
"set 30, 1983",8666
"out 07, 1983",8654
"out 14, 1983",8654
"out 21, 1983",8654
"out 28, 1983",8654
"nov 04, 1983",8624
"nov 11, 1983",8624
"nov 18, 1983",8624
"nov 25, 1983",8624
"dez 02, 1983",8612
"dez 09, 1983",8612
"dez 16, 1983",8612
"dez 23, 1983",8612
"dez 30, 1983",8612
"jan 06, 1984",8659
"jan 13, 1984",8659
"jan 20, 1984",8659
"jan 27, 1984",8659
"fev 03, 1984",8726
"fev 10, 1984",8726
"fev 17, 1984",8726
"fev 24, 1984",8726
"mar 02, 1984",8718
"mar 09, 1984",8718
"mar 16, 1984",8718
"mar 23, 1984",8718
"mar 30, 1984",8718
"abr 06, 1984",8688
"abr 13, 1984",8688
"abr 20, 1984",8688
"abr 27, 1984",8688
"mai 04, 1984",8753
"mai 11, 1984",8753
"mai 18, 1984",8753
"mai 25, 1984",8753
"jun 01, 1984",8743
"jun 08, 1984",8743
"jun 15, 1984",8743
"jun 22, 1984",8743
"jun 29, 1984",8743
"jul 06, 1984",8769
"jul 13, 1984",8769
"jul 20, 1984",8769
"jul 27, 1984",8769
"ago 03, 1984",8781
"ago 10, 1984",8781
"ago 17, 1984",8781
"ago 24, 1984",8781
"ago 31, 1984",8781
"set 07, 1984",8759
"set 14, 1984",8759
"set 21, 1984",8759
"set 28, 1984",8759
